imdb_id,network,genres
tt10160804,Disney+,action
tt10160804,Disney+,adventure
tt10160804,Disney+,drama
tt10160804,Disney+,holiday
tt10160804,Disney+,superhero
tt5180504,Netflix,drama
tt5180504,Netflix,action
tt5180504,Netflix,adventure
tt5180504,Netflix,fantasy
tt5180504,Netflix,science-fiction
tt1486217,FXX,animation
tt1486217,FXX,comedy
tt1486217,FXX,action
tt1486217,FXX,adventure
tt7462410,Amazon,fantasy
tt7462410,Amazon,science-fiction
tt7462410,Amazon,drama
tt7462410,Amazon,action
tt7462410,Amazon,adventure
tt15431326,TBS,reality
tt15431326,TBS,family
tt6468322,Antena 3,drama
tt6468322,Antena 3,crime
tt11126994,Netflix,adventure
tt11126994,Netflix,animation
tt11126994,Netflix,fantasy
tt11126994,Netflix,action
tt11126994,Netflix,science-fiction
tt11126994,Netflix,drama
tt6226232,CBS,comedy
tt15172154,Netflix,reality
tt0804484,Apple TV+,science-fiction
tt0804484,Apple TV+,drama
tt0804484,Apple TV+,fantasy
tt15665668,Netflix,reality
tt10380768,HBO Max,comedy
tt10380768,HBO Max,drama
tt10380768,HBO Max,romance
tt3530232,HBO,comedy
tt3530232,HBO,talk-show
tt3530232,HBO,news
tt7767422,Netflix,comedy
tt7767422,Netflix,drama
tt9581768,Netflix,reality
tt10231312,Netflix,animation
tt10231312,Netflix,comedy
tt15171996,Netflix,reality
tt10919420,Netflix,drama
tt10919420,Netflix,action
tt10919420,Netflix,adventure
tt10919420,Netflix,mystery
tt10919420,Netflix,thriller
tt7879820,Netflix,comedy
tt10986410,Apple TV+,comedy
tt6317068,Adult Swim,animation
tt6317068,Adult Swim,adventure
tt6317068,Adult Swim,action
tt6317068,Adult Swim,fantasy
tt6317068,Adult Swim,science-fiction
tt6317068,Adult Swim,comedy
tt10168312,Disney+,animation
tt10168312,Disney+,action
tt10168312,Disney+,adventure
tt10168312,Disney+,fantasy
tt10168312,Disney+,science-fiction
tt10168312,Disney+,superhero
tt6987788,Netflix,reality
tt6987788,Netflix,family
tt8036272,Adult Swim,animation
tt8036272,Adult Swim,comedy
tt7453996,Netflix,comedy
tt7453996,Netflix,reality
tt12004280,Netflix,reality
tt7529770,TBS,comedy
tt10971064,Apple TV+,comedy
tt10971064,Apple TV+,drama
tt2467372,FOX,comedy
tt2467372,FOX,crime
tt2861424,Adult Swim,animation
tt2861424,Adult Swim,comedy
tt2861424,Adult Swim,fantasy
tt2861424,Adult Swim,science-fiction
tt2861424,Adult Swim,action
tt2861424,Adult Swim,adventure
tt7134908,Netflix,crime
tt7134908,Netflix,mystery
tt7134908,Netflix,drama
tt13406094,HBO,comedy
tt13406094,HBO,drama
tt13406094,HBO,thriller
tt13406094,HBO,mystery
tt8129006,Apple TV+,animation
tt8129006,Apple TV+,comedy
tt8129006,Apple TV+,musical
tt6315640,Netflix,comedy
tt6315640,Netflix,drama
tt2531336,Netflix,crime
tt2531336,Netflix,drama
tt2531336,Netflix,mystery
tt4052886,Netflix,crime
tt4052886,Netflix,fantasy
tt4052886,Netflix,science-fiction
tt9140554,Disney+,fantasy
tt9140554,Disney+,science-fiction
tt9140554,Disney+,drama
tt8879940,Apple TV+,comedy
tt5834204,Hulu,drama
tt5834204,Hulu,fantasy
tt5834204,Hulu,science-fiction
tt5834204,Hulu,thriller
tt11041132,Apple TV+,drama
tt11041132,Apple TV+,action
tt11041132,Apple TV+,adventure
tt9811118,Hulu,animation
tt9811118,Hulu,comedy
tt4635276,Netflix,comedy
tt4635276,Netflix,drama
tt0182576,FOX,animation
tt0182576,FOX,comedy
tt9327706,Apple TV+,thriller
tt9327706,Apple TV+,drama
tt9327706,Apple TV+,mystery
tt9327706,Apple TV+,horror
tt9561862,Netflix,animation
tt9561862,Netflix,fantasy
tt9561862,Netflix,science-fiction
tt6741278,Amazon,superhero
tt6741278,Amazon,animation
tt6741278,Amazon,action
tt6741278,Amazon,adventure
tt6741278,Amazon,drama
tt6741278,Amazon,fantasy
tt6741278,Amazon,science-fiction
tt11053426,BBC One,documentary
tt7772588,Apple TV+,fantasy
tt7772588,Apple TV+,science-fiction
tt7772588,Apple TV+,drama
tt7772588,Apple TV+,war
tt9208876,Disney+,action
tt9208876,Disney+,adventure
tt9208876,Disney+,drama
tt9208876,Disney+,superhero
tt9208876,Disney+,fantasy
tt9208876,Disney+,science-fiction
tt8690776,Netflix,action
tt8690776,Netflix,adventure
tt8690776,Netflix,crime
tt8690776,Netflix,drama
tt8910922,Hulu,animation
tt8910922,Hulu,comedy
tt8910922,Hulu,fantasy
tt8910922,Hulu,science-fiction
tt0460681,The CW,drama
tt0460681,The CW,mystery
tt0460681,The CW,fantasy
tt0460681,The CW,science-fiction
tt0460681,The CW,horror
tt6156584,TNT,fantasy
tt6156584,TNT,science-fiction
tt8235236,Netflix,animation
tt8235236,Netflix,comedy
tt0353049,Comedy Central,comedy
tt10311562,Netflix,comedy
tt9184982,Netflix,fantasy
