trakt_id,watched_at,show,season,episode,title,imdb_id,trakt_user
8038508615,2021-12-29,Hawkeye,1,5,Ronin,tt10160804,szigony
8038330499,2021-12-29,Hawkeye,1,4,"Partners, Am I Right?",tt10160804,szigony
8037196154,2021-12-28,The Witcher,2,4,Redanian Intelligence,tt5180504,szigony
8037009137,2021-12-28,Hawkeye,1,3,Echoes,tt10160804,szigony
8037009082,2021-12-28,Hawkeye,1,2,Hide and Seek,tt10160804,szigony
8036425190,2021-12-28,Hawkeye,1,1,Never Meet Your Heroes,tt10160804,szigony
8036420614,2021-12-28,Archer,12,8,Mission: Difficult,tt1486217,szigony
8036420094,2021-12-28,Archer,12,7,Colt Express,tt1486217,szigony
8032047858,2021-12-26,Archer,12,6,"Dingo, Baby, Et Cetera",tt1486217,szigony
8029441333,2021-12-24,The Witcher,2,3,What Is Lost,tt5180504,szigony
8029441185,2021-12-24,The Wheel of Time,1,8,The Eye of the World,tt7462410,szigony
8029147777,2021-12-24,Archer,12,5,Shots,tt1486217,szigony
8027562746,2021-12-23,The Witcher,2,2,Kaer Morhen,tt5180504,szigony
8027467309,2021-12-23,The Witcher,2,1,A Grain of Truth,tt5180504,szigony
8027280569,2021-12-23,Harry Potter: Hogwarts Tournament of Houses,1,4,The Grand Finale,tt15431326,szigony
8027280296,2021-12-23,Archer,12,4,Photo Op,tt1486217,szigony
8023734162,2021-12-22,Money Heist,3,10,A Family Tradition,tt6468322,szigony
8023604304,2021-12-22,Money Heist,3,9,Pillow Talk,tt6468322,szigony
8023604258,2021-12-22,Archer,12,3,London Time,tt1486217,szigony
8023604229,2021-12-22,Archer,12,2,Lowjacked,tt1486217,szigony
8023373788,2021-12-22,Archer,12,1,Identity Crisis,tt1486217,szigony
8022013941,2021-12-21,Money Heist,3,8,The Elegance Theory,tt6468322,szigony
8018715186,2021-12-19,Money Heist,3,7,Wishful Thinking,tt6468322,szigony
8018600453,2021-12-19,Money Heist,3,6,Escape Valve,tt6468322,szigony
8018494648,2021-12-19,The Wheel of Time,1,7,The Dark Along the Ways,tt7462410,szigony
8018211138,2021-12-19,Harry Potter: Hogwarts Tournament of Houses,1,3,The Wildcard Round,tt15431326,szigony
8018210575,2021-12-19,Arcane,1,9,The Monster You Created,tt11126994,szigony
7997813311,2021-12-12,Arcane,1,8,Oil and Water,tt11126994,szigony
7997744796,2021-12-12,The Wheel of Time,1,6,The Flame of Tar Valon,tt7462410,szigony
7997744741,2021-12-12,Young Sheldon,5,9,The Yips and an Oddly Hypnotic Bohemian,tt6226232,szigony
7997744257,2021-12-12,Arcane,1,7,The Boy Savior,tt11126994,szigony
7990612827,2021-12-08,Harry Potter: Hogwarts Tournament of Houses,1,2,Ravenclaw v Slytherin,tt15431326,szigony
7989340489,2021-12-07,Arcane,1,6,When These Walls Come Tumbling Down,tt11126994,szigony
7987638256,2021-12-06,Arcane,1,5,Everybody Wants to Be My Enemy,tt11126994,szigony
7987593988,2021-12-06,Arcane,1,4,Happy Progress Day!,tt11126994,szigony
7976209405,2021-12-05,Arcane,1,3,The Base Violence Necessary for Change,tt11126994,szigony
7976209340,2021-12-05,Young Sheldon,5,8,The Grand Chancellor and a Den of Sin,tt6226232,szigony
7976209263,2021-12-05,The Wheel of Time,1,5,Blood Calls Blood,tt7462410,szigony
7974148234,2021-12-04,Arcane,1,2,Some Mysteries Are Better Left Unsolved,tt11126994,szigony
7971715133,2021-12-03,School of Chocolate,1,8,The Best in Class Is...,tt15172154,szigony
7971571968,2021-12-03,Arcane,1,1,Welcome to the Playground,tt11126994,szigony
7971570742,2021-12-03,School of Chocolate,1,7,Give Me Some Sugar,tt15172154,szigony
7971570734,2021-12-03,School of Chocolate,1,6,Flying Chocolate,tt15172154,szigony
7969504392,2021-12-01,Foundation,1,10,The Leap,tt0804484,szigony
7969413706,2021-12-01,Foundation,1,9,The First Crisis,tt0804484,szigony
